School,Zip
Fort Valley State University,Fort Valley State University
East Stroudsburg University of Pennsylvania,East Stroudsburg University of Pennsylvania
University of Central Oklahoma,University of Central Oklahoma
The University of Texas at Tyler,The University of Texas at Tyler
Texas A & M University-Kingsville,Texas A & M University-Kingsville
University of Pittsburgh-Greensburg,University of Pittsburgh-Greensburg
Humboldt State University,Humboldt State University
Purdue University Global-Davenport,Purdue University Global-Davenport
The Evergreen State College,The Evergreen State College
Purdue University-Calumet Campus,Purdue University-Calumet Campus
Lincoln University,Lincoln University
McNeese State University,McNeese State University
Wright State University-Main Campus,Wright State University-Main Campus
University of Houston-Downtown,University of Houston-Downtown
Chicago State University,Chicago State University
Lewis-Clark State College,Lewis-Clark State College
Auburn University at Montgomery,Auburn University at Montgomery
New Jersey City University,New Jersey City University
Colorado Mesa University,Colorado Mesa University
University of Southern Maine,University of Southern Maine
Savannah State University,Savannah State University
Valdosta State University,Valdosta State University
Henderson State University,Henderson State University
Angelo State University,Angelo State University
Virginia State University,Virginia State University
University of Maryland Eastern Shore,University of Maryland Eastern Shore
Tarleton State University,Tarleton State University
Plymouth State University,Plymouth State University
Mississippi Valley State University,Mississippi Valley State University
Austin Peay State University,Austin Peay State University
Northeastern State University,Northeastern State University
Texas A & M University-Commerce,Texas A & M University-Commerce
Indiana University-Purdue University-Indianapolis,Indiana University-Purdue University-Indianapolis
Armstrong State University,Armstrong State University
Southern Oregon University,Southern Oregon University
Fort Lewis College,Fort Lewis College
Shepherd University,Shepherd University
William Paterson University of New Jersey,William Paterson University of New Jersey
Bowie State University,Bowie State University
Midwestern State University,Midwestern State University
Colorado State University-Pueblo,Colorado State University-Pueblo
Indiana University-South Bend,Indiana University-South Bend
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College
Augusta State University,Augusta State University
